Index,MMApercent,TCEpercent,MMA_Mass_Percent,Run,startingMass,Mass_i_mg,Mass_f_mg,diff,rateOfMassLoss,rateOfMassLossOverPercentMMAbyMass
0,60,40,46.53465347,1,10.11991,10.03291,7.78118,2.25173,22.44343864,48.22951708
1,70,30,57.51748252,1,28.96233,28.69668,24.09234,4.60434,19.11121958,33.22680122
2,80,20,69.88847584,1,13.18631,13.16055,11.152,2.00855,15.26190015,21.83750606
3,90,10,83.92857143,1,14.49637,14.4103,12.46313,1.94717,13.51234881,16.09981985
4,100,0,100,1,21.44174,21.31572,17.86073,3.45499,16.20864789,16.20864789
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MMApercentbyVol,TCEpercentbyVol,MMA_Mass_Percent,startingMass,Mass_i_mg,Mass_f_mg,MassDiff,rateOfMassLoss,,,
60,40,46.53465347,10.11991,10.03291,7.78118,2.25173,22.44343864,,,
70,30,57.51748252,28.96233,28.69668,24.09234,4.60434,19.11121958,,,
80,20,69.88847584,13.18631,13.16055,11.152,2.00855,15.26190015,,,
90,10,83.92857143,14.49637,14.4103,12.46313,1.94717,13.51234881,,,
100,0,100,21.44174,21.31572,17.86073,3.45499,16.20864789,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MMApercentbyVol,MMA_Mass_Percent,rateOfMassLoss,,,,,,,,
60,46.53465347,22.44343864,,,,,,,,
70,57.51748252,19.11121958,,,,,,,,
80,69.88847584,15.26190015,,,,,,,,
90,83.92857143,13.51234881,,,,,,,,
100,100,16.20864789,,,,,,,,
,,,,,,,,,,
Intercept A,Intercept Ax,Intercpet Ay,NearestAx,NearestAy,Intercept Bx,Intercept By,NearestBx,NearestBy,,
60/40,[[91.98236182]] [[10.03283199]],,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Test Tube Number:,Amount of TCE (mL):,Amount of MMA (mL):,Amount of Buffer,,,,,,,
1.0,1.0,1.0,2.0,,,,,,,
2.0,1.2,0.8,2.0,,,,,,,
3.0,1.4,0.6,2.0,,,,,,,
4.0,1.6,0.4,2.0,,,,,,,
5.0,1.8,0.2,2.0,,,,,,,
6.0,0.8,1.2,2.0,,,,,,,
7.0,0.6,1.4,2.0,,,,,,,
8.0,0.4,1.6,2.0,,,,,,,
9.0,0.2,1.8,2.0,,,,,,,
10.0,2.0,0.0,2.0,,,,,,,
11.0,0.0,2.0,2.0,,,,,,,
